 Red 877 Blue 65
 Red 865 Blue 95
 Red 637 Blue 1077
Blue Red 1383 Blue 14703
Blue Red 1071 Blue 12213
Blue Red 78 Blue 5056
Blue Red 282 Blue 8533
Blue Red 718 Blue 10990
Blue Red 101 Blue 3599
Blue Red 966 Blue 16649
Blue Red 191 Blue 5350
Blue Red 955 Blue 8547
Blue Red 97 Blue 4927
Blue Red 86 Blue 5482
Blue Red 54 Blue 5790
Blue Red 221 Blue 6659
Blue Red 1858 Blue 16523
Blue Red 1961 Blue 12570
Blue Red 363 Blue 5990
Blue Red 231 Blue 6111
Blue Red 592 Blue 6730
Blue Red 709 Blue 10523
Blue Red 1541 Blue 10188
Blue Red 723 Blue 7121
Blue Red 507 Blue 6701
Blue Red 1599 Blue 11073
Blue Red 140 Blue 3786
Blue Red 61 Blue 5084
Blue Red 113 Blue 3663
Blue Red 43 Blue 3452
Blue Red 17 Blue 4714
Blue Red 362 Blue 6482
Blue Red 378 Blue 5493
Blue Red 233 Blue 6367
Blue Red 1211 Blue 13175
Blue Red 244 Blue 7453
Blue Red 766 Blue 10935
Blue Red 191 Blue 7929
Blue Red 263 Blue 8949
Blue Red 173 Blue 6758
Blue Red 90 Blue 6066
Blue Red 33 Blue 33718
Blue Red 7 Blue 30311
Blue Red 49 Blue 18535
Blue Red 24 Blue 17452
Blue Red 45 Blue 11006
Blue Red 11 Blue 20636
Blue Red 23 Blue 10642
Blue Red 74 Blue 44870
Blue Red 25 Blue 5149
Blue Red 62 Blue 7491
Blue Red 25 Blue 15774
Blue Red 21 Blue 13201
Blue Red 36 Blue 9542
Blue Red 25 Blue 6928
Blue Red 31 Blue 9054
Blue Red 23 Blue 6124
Blue Red 41 Blue 8917
Blue Red 24 Blue 10420
Blue Red 18 Blue 7121
Blue Red 26 Blue 11838
Blue Red 17 Blue 22766
Blue Red 34 Blue 10539
Blue Red 76 Blue 5169
Blue Red 1303 Blue 19656
Blue Red 561 Blue 10705
Blue Red 28 Blue 22097
Blue Red 236 Blue 5330
Blue Red 268 Blue 14601
Blue Red 24 Blue 8405
Blue Red 648 Blue 7862
Blue Red 70 Blue 6743
Blue Red 23 Blue 5238
Blue Red 27 Blue 13867
Blue Red 211 Blue 5489
Blue Red 18 Blue 6577
Blue Red 0 Blue 4985
Blue Red 19 Blue 5578
Blue Red 0 Blue 7293
Blue Red 12 Blue 5691
Blue Red 0 Blue 6394
Blue Red 0 Blue 6169
Blue Red 0 Blue 7772
Blue Red 0 Blue 6773
Blue Red 23 Blue 12612
Blue Red 30 Blue 10436
Blue Red 29 Blue 7232
Blue Red 21 Blue 10494
Blue Red 78 Blue 7394
Blue Red 43 Blue 6260
Blue Red 63 Blue 12471
Blue Red 66 Blue 9225
Blue Red 36 Blue 12441
Blue Red 69 Blue 14120
Blue Red 17 Blue 8372
Blue Red 65 Blue 4789
Blue Red 41 Blue 8209
Blue Red 16 Blue 12008
Blue Red 46 Blue 8084
Blue Red 58 Blue 24546
Blue Red 25 Blue 27182
Blue Red 47 Blue 5726
Blue Red 61 Blue 9329
Blue Red 66 Blue 11528
Blue Red 31 Blue 8691
Blue Red 28 Blue 5596
Blue Red 40 Blue 27190
Blue Red 63 Blue 7056
Blue Red 66 Blue 6411
Blue Red 463 Blue 13040
Blue Red 21 Blue 6558
Blue Red 2384 Blue 3691
Red Red 10805 Blue 7453
Red Red 6752 Blue 6404
Blue Red 57 Blue 6476
Blue Red 523 Blue 3595
Blue Red 84 Blue 5826
Blue Red 153 Blue 7246
Blue Red 265 Blue 9483
Blue Red 299 Blue 8323
Blue Red 0 Blue 39930
Blue Red 13 Blue 5883
Blue Red 13 Blue 6237
Blue Red 34 Blue 10026
Blue Red 80 Blue 19179
Blue Red 11 Blue 27066
Blue Red 19 Blue 7463
Blue Red 33 Blue 20809
Blue Red 25 Blue 23583
Blue Red 80 Blue 5399
Blue Red 24 Blue 23039
Blue Red 152 Blue 10946
Blue Red 27 Blue 28011
Blue Red 190 Blue 6445
Blue Red 382 Blue 10003
Blue Red 49 Blue 5252
Blue Red 344 Blue 5163
Blue Red 417 Blue 6409
Blue Red 6027 Blue 12148
Blue Red 126 Blue 6999
Blue Red 8265 Blue 6489
Blue Red 54 Blue 5486
Blue Red 66 Blue 6828
Blue Red 50 Blue 11096
Blue Red 89 Blue 5769
Blue Red 424 Blue 972
Blue Red 56 Blue 3315
Blue Red 66 Blue 3565
Red Red 589 Blue 114
Blue Red 324 Blue 7211
Blue Red 532 Blue 1337
Red Red 349 Blue 139
Blue Red 243 Blue 4519
Blue Red 4392 Blue 4363
Red Red 3356 Blue 636
Blue Red 1504 Blue 1651
Red Red 810 Blue 441
Blue Red 99 Blue 658
Red Red 5386 Blue 112
Blue Red 244 Blue 4353
Blue Red 340 Blue 6723
Blue Red 780 Blue 5780
Blue Red 105 Blue 1224
Red Red 1109 Blue 789
Blue Red 602 Blue 4222
Blue Red 419 Blue 1359
Blue Red 2134 Blue 2827
Red Red 94 Blue 68
Blue Red 289 Blue 4807
Blue Red 372 Blue 713
Blue Red 791 Blue 1727
Red Red 1806 Blue 1351
Blue Red 217 Blue 779
Red Red 8359 Blue 751
Red Red 6847 Blue 430
Blue Red 1271 Blue 5341
Red Red 3343 Blue 2950
Red Red 5096 Blue 3703
Red Red 6884 Blue 4797
Red Red 7091 Blue 351
Blue Red 5478 Blue 4669
Red Red 5127 Blue 3591
Blue Red 2505 Blue 2646
Red Red 2831 Blue 1638
Red Red 8855 Blue 1328
Red Red 5128 Blue 643
Blue Red 3274 Blue 3468
Red Red 5722 Blue 141
Red Red 2946 Blue 2549
Red Red 4163 Blue 1445
Red Red 9011 Blue 1117
Red Red 6184 Blue 1762
Red Red 5514 Blue 1224
Red Red 6937 Blue 3113
Red Red 4209 Blue 2311
Blue Red 2737 Blue 3370
Red Red 10377 Blue 2318
Red Red 5057 Blue 4961
Red Red 5478 Blue 176
Blue Red 130 Blue 4500
Red Red 5774 Blue 95
